old_url,new_url,is_primary
https://archive.cdc.gov/www_cdc_gov/coronavirus/2019-ncov/community/schools-childcare/ventilation.html,https://www.cdc.gov/niosh/ventilation/guidelines/,true
https://archive.cdc.gov/www_cdc_gov/niosh/mining/topics/atmosphericmonitoring.html,https://www.cdc.gov/niosh/mining/topics/fires-explosions.html,true
https://archive.cdc.gov/www_cdc_gov/niosh/mining/topics/dieselexhaust.html,https://www.cdc.gov/niosh/mining/topics/respiratory-hazards.html,true
https://archive.cdc.gov/www_cdc_gov/niosh/mining/topics/emergencymanagement.html,https://www.cdc.gov/niosh/mining/topics/fires-explosions.html,true
https://archive.cdc.gov/www_cdc_gov/niosh/mining/topics/explosions.html,https://www.cdc.gov/niosh/mining/topics/fires-explosions.html,true
https://archive.cdc.gov/www_cdc_gov/niosh/mining/topics/firecontrolsuppression.html,https://www.cdc.gov/niosh/mining/topics/fires-explosions.html,true
https://archive.cdc.gov/www_cdc_gov/niosh/mining/topics/geologiccharacterization.html,https://www.cdc.gov/niosh/mining/topics/ground-falls.html,true
https://archive.cdc.gov/www_cdc_gov/niosh/mining/topics/groundcontroloverview.html,https://www.cdc.gov/niosh/mining/topics/ground-falls.html,true
https://archive.cdc.gov/www_cdc_gov/niosh/mining/topics/groundmonitoring.html,https://www.cdc.gov/niosh/mining/topics/ground-falls.html,true
https://archive.cdc.gov/www_cdc_gov/niosh/mining/topics/horizontalstress.html,https://www.cdc.gov/niosh/mining/topics/ground-falls.html,true
https://archive.cdc.gov/www_cdc_gov/niosh/mining/topics/inertizationtechnologies.html,https://www.cdc.gov/niosh/mining/topics/fires-explosions.html,true
https://archive.cdc.gov/www_cdc_gov/niosh/mining/topics/interfacejobdesign.html,https://www.cdc.gov/niosh/mining/topics/machinery-struck-by-injuries.html,true
https://archive.cdc.gov/www_cdc_gov/niosh/mining/topics/interfacejobdesign.html,https://www.cdc.gov/niosh/mining/topics/ground-falls.html,false
https://archive.cdc.gov/www_cdc_gov/niosh/mining/topics/interfacejobdesign.html,https://www.cdc.gov/niosh/mining/topics/machinery-struck-by-injuries.html,true
https://archive.cdc.gov/www_cdc_gov/niosh/mining/topics/interfacejobdesign.html,https://www.cdc.gov/niosh/mining/topics/ground-falls.html,false
https://archive.cdc.gov/www_cdc_gov/niosh/mining/topics/lasers.html,https://www.cdc.gov/niosh/mining/topics/fires-explosions.html,true
https://archive.cdc.gov/www_cdc_gov/niosh/mining/topics/methanedetectionandmonitoring.html,https://www.cdc.gov/niosh/mining/topics/fires-explosions.html,true
https://archive.cdc.gov/www_cdc_gov/niosh/mining/topics/methanedrainageandmigration.html,https://www.cdc.gov/niosh/mining/topics/fires-explosions.html,true
